Location,Crash Type,Month,Municipality,Year,CrashCount,Latitude,Longitude
HARBOUR AVE & MAIN ST,Casualty,April    ,NORTH VANCOUVER,2019,1,49.305823,-123.034207
COTTON RD & MAIN ST,Casualty,April    ,NORTH VANCOUVER,2019,1,49.306738,-123.038367
COTTON RD & E 3RD ST,Casualty,April    ,NORTH VANCOUVER,2019,1,49.308351,-123.045676
DOLLARTON HWY & SLEIL-WAUTUTH RD,Casualty,April    ,NORTH VANCOUVER,2019,1,49.308375,-122.988504
LILLOOET RD & MT SEYMOUR PKY & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,1,49.31237,-123.025305
E KEITH RD & QUEENSBURY AVE,Casualty,April    ,NORTH VANCOUVER,2019,1,49.313499,-123.05712
E KEITH RD & ST GEORGES AVE,Casualty,April    ,NORTH VANCOUVER,2019,1,49.315554,-123.07045
DEEP COVE RD & MT SEYMOUR PKY & N DOLLARTON HWY,Casualty,April    ,NORTH VANCOUVER,2019,1,49.315838,-122.953567
MT SEYMOUR PKY & MT SEYMOUR RD & ROCHE POINT DR,Casualty,April    ,NORTH VANCOUVER,2019,1,49.315935,-122.968956
MACKAY RD & W 1ST ST,Casualty,April    ,NORTH VANCOUVER,2019,1,49.318129,-123.102393
BEWICKE AVE & MARINE DR & W 2ND LANE & W 3RD ST & W KEITH RD,Casualty,April    ,NORTH VANCOUVER,2019,1,49.319986,-123.0914
CHESTERFIELD AVE & W 13TH ST,Casualty,April    ,NORTH VANCOUVER,2019,1,49.320023,-123.075547
CAPILANO RD & CURLING RD,Casualty,April    ,NORTH VANCOUVER,2019,1,49.325219,-123.121453
LYNN VALLEY RD & MOLLIE NYE WAY,Casualty,April    ,NORTH VANCOUVER,2019,1,49.332038,-123.047593
LYNN VALLEY RD & MOUNTAIN HWY & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,1,49.337044,-123.038214
E KINGS RD & ST GEORGES AVE,Casualty,April    ,NORTH VANCOUVER,2019,1,49.337441,-123.068606
E ST JAMES RD & REGENT AVE,Casualty,April    ,NORTH VANCOUVER,2019,1,49.339214,-123.060687
CAPILANO CRES & CAPILANO RD & RIDGEWOOD DR,Casualty,April    ,NORTH VANCOUVER,2019,1,49.339494,-123.114523
DOVERCOURT RD & HOSKINS RD & LYNN VALLEY RD,Casualty,April    ,NORTH VANCOUVER,2019,1,49.342224,-123.028695
MONTROYAL BLVD & STARLIGHT WAY,Casualty,April    ,NORTH VANCOUVER,2019,1,49.347173,-123.075194
