Timestamp,What is your age range?,What is your income range?,What is your gender?,What is your nationality?,Which brand of mobile phone do you currently use?,How long have you had your current mobile phone?,How often do you typically replace your mobile phone?,Are you in a contract that prevents you from keeping your mobile phone for longer?,"Have you ever had a mobile device repaired (screen, battery, charging port, etc.)?",Where did you have it repaired?,What types of repair(s) have you had done? (select all that apply),"If you didn’t repair your device when it broke, what was the main reason? (Select up to 2)",How easy do you think it is to have a mobile phone repaired in your area?,Which of the following factors would most increase your likelihood of repairing your phone instead of replacing it? (Select up to 2),How much would you be willing to pay for a repair compared to the cost of replacing your phone with a new one?,Do you believe manufacturers intentionally make devices more difficult to repair?,How important is it to you that future devices are designed to be repairable?,"Have you heard of the ""Right to Repair"" movement?",Do you support legislation requiring manufacturers to make spare parts and manuals available for independent repair?,"If mobile devices were easier and cheaper to repair, how likely would you be to keep your device longer before replacing it?"
2025/11/16 1:37:07 PM PST,18-24,"Under $60,000",Female,Canada,iPhone,More than 5 years,Only when it stops working,No,No,,,Wanted a newer model;Other,Unsure,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",Less than 10% of the replacement cost,Unsure,Somewhat important,No,Neutral,I already keep my devices for a long time
2025/11/18 2:20:51 PM PST,18-24,"$60,000-$100,000",Female,United States,iPhone,1-2 years,Every 3-4 years,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement,Other,Very easy,"Lower repair costs;Easier access to repair services (e.g., local shops, mail-in repair)",Less than 10% of the replacement cost,Yes,Very important,No,Somewhat support,Much more likely
2025/11/18 2:24:20 PM PST,18-24,"Under $60,000",Male,Canada,Google,Less than 1 year,Only when it stops working,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement;Repair from liquid damage,Other,Somewhat easy,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",Less than 10% of the replacement cost,Yes,Very important,No,Somewhat support,Somewhat more likely
2025/11/18 2:29:03 PM PST,25-34,"$60,000-$100,000",Male,Canada,iPhone,3-4 years,Only when it stops working,No,No,,,Wanted a newer model,Somewhat easy,"Guaranteed repair quality (e.g., warranty on parts or service);Availability of official spare parts and manuals",Less than 10% of the replacement cost,Yes,Somewhat important,No,Somewhat support,Somewhat more likely
2025/11/18 2:31:08 PM PST,18-24,"Under $60,000",Male,India,iPhone,2-3 years,Every 3-4 years,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Battery replacement,Repair was too expensive,Very easy,"Guaranteed repair quality (e.g., warranty on parts or service);Same day pick-up",I would replace the phone regardless of cost,Yes,Not important,No,Neutral,No difference
2025/11/18 2:35:39 PM PST,18-24,"Under $60,000",Male,Canada,iPhone,2-3 years,Every 3-4 years,Yes,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement,Repair was too expensive;Wanted a newer model,Somewhat easy,Lower repair costs;Same day pick-up,10-25% of the replacement cost,Yes,Somewhat important,No,Neutral,Much more likely
2025/11/18 2:43:57 PM PST,18-24,"Under $60,000",Male,Canada,iPhone,3-4 years,Every 3-4 years,No,Yes,Independent repair shop,Screen replacement,Repair was too expensive;Was told repair was not possible,Somewhat easy,Lower repair costs;Availability of official spare parts and manuals,10-25% of the replacement cost,Yes,Very important,Yes,Strongly support,Much more likely
2025/11/18 3:41:20 PM PST,25-34,"Under $60,000",Female,Canada,Samsung,Less than 1 year,Only when it stops working,No,Yes,I repaired it myself,Other,Was told repair was not possible;Wanted a newer model,Somewhat easy,"Guaranteed repair quality (e.g., warranty on parts or service);Availability of official spare parts and manuals",25-50% of the replacement cost,Yes,Extremely important,No,Strongly support,I already keep my devices for a long time
2025/11/18 3:41:44 PM PST,25-34,"Under $60,000",Male,Canada,iPhone,4-5 years,Only when it stops working,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement;Other,Repair was too expensive;Took too long or was inconvenient,Somewhat easy,"Guaranteed repair quality (e.g., warranty on parts or service);Availability of official spare parts and manuals",10-25% of the replacement cost,Yes,Extremely important,No,Strongly support,Much more likely
2025/11/18 3:45:32 PM PST,18-24,"Under $60,000",Male,India,iPhone,2-3 years,Only when it stops working,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement;Battery replacement,Was told repair was not possible;Wanted a newer model,Very easy,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",10-25% of the replacement cost,Yes,Extremely important,No,Strongly support,Much more likely
